clade_name	clade_taxid	SX9	SX99	SX98	SX97	SX96	SX95	SX94	SX93	SX92	SX91	SX90	SX8	SX89	SX88	SX87	SX86	SX85	SX84	SX83	SX82	SX81	SX80	SX7	SX79	SX78	SX77	SX76	SX75	SX74	SX73	SX71	SX70	SX6	SX69	SX68	SX67	SX66	SX65	SX64	SX63	SX62	SX61	SX60	SX5	SX59	SX58	SX57	SX56	SX55	SX54	SX53	SX52	SX51	SX50	SX4	SX49	SX48	SX47	SX46	SX45	SX44	SX43	SX42	SX41	SX40	SX3	SX39	SX38	SX37	SX36	SX35	SX34	SX33	SX32	SX31	SX30	SX2	SX29	SX28	SX27	SX26	SX25	SX24	SX23	SX22	SX21	SX20	SX1	SX19	SX18	SX17	SX16	SX15	SX14	SX142	SX141	SX140	SX13	SX139	SX138	SX137	SX136	SX135	SX134	SX12	SX10	SX105	SX104	SX103	SX102	SX101	SX100	MH133	MH132	MH131	MH130	MH129	MH128	MH127	MH126	MH125	MH124	MH123	MH122	MH121	MH120	MH119	MH118	MH117	MH116	MH115	MH114	MH113	MH112	MH111	MH110	MH109	MH108	MH107	MH106
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified|s__Methanomassiliicoccales_archaeon	2157|2283796|183967|1235850|||1906667	366.0	0	11.0	0	658.0	1426.0	204.0	0	36156.0	9504.0	4217.0	1922.0	10119.0	0	29539.0	30523.0	0	8011.0	8024.0	0	0	11615.0	490.0	5280.0	13801.0	0	0	507.0	4575.0	3698.0	0	0	2390.0	8698.0	0	0	6932.0	0	1990.0	1423.0	2080.0	0	0	901.0	11350.0	7424.0	0	7829.0	12448.0	0	0	0	6192.0	9589.0	11059.0	868.0	0	3202.0	0	8318.0	2029.0	6034.0	0	3070.0	0	8579.0	0	0	0	0	0	0	0	0	0	0	7655.0	0	3001.0	0	0	0	0	35.0	0	0	0	6918.0	0	0	0	10592.0	0	0	0	0	0	0	0	0	6990.0	0	0	0	7267.0	4240.0	0	3701.0	6726.0	0	11044.0	11991.0	0	0	0	0	25867.0	8076.0	0	1432.0	0	0	0	0	16982.0	7674.0	12926.0	0	0	0	2437.0	8708.0	834.0	12841.0	0	7737.0	0	0	0	2882.0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified|s__Methanomassiliicoccales_archaeon|t__SGB372	2157|2283796|183967|1235850|||1906667|	366.0	0	11.0	0	658.0	1426.0	204.0	0	36156.0	9504.0	4217.0	1922.0	10119.0	0	29539.0	30523.0	0	8011.0	8024.0	0	0	11615.0	490.0	5280.0	13801.0	0	0	507.0	4575.0	3698.0	0	0	2390.0	8698.0	0	0	6932.0	0	1990.0	1423.0	2080.0	0	0	901.0	11350.0	7424.0	0	7829.0	12448.0	0	0	0	6192.0	9589.0	11059.0	868.0	0	3202.0	0	8318.0	2029.0	6034.0	0	3070.0	0	8579.0	0	0	0	0	0	0	0	0	0	0	7655.0	0	3001.0	0	0	0	0	35.0	0	0	0	6918.0	0	0	0	10592.0	0	0	0	0	0	0	0	0	6990.0	0	0	0	7267.0	4240.0	0	3701.0	6726.0	0	11044.0	11991.0	0	0	0	0	25867.0	8076.0	0	1432.0	0	0	0	0	16982.0	7674.0	12926.0	0	0	0	2437.0	8708.0	834.0	12841.0	0	7737.0	0	0	0	2882.0
k__Archaea|p__Euryarchaeota	2157|28890	4879.0	0	103.0	0	0	131866.0	724.0	5665.0	740925.0	101223.0	112126.0	0	287306.0	41206.0	803876.0	187556.0	0	178939.0	515730.0	0	236823.0	661990.0	126403.0	103333.0	556633.0	0	0	48312.0	86916.0	9154.0	2417.0	202961.0	155528.0	196914.0	5562.0	4392.0	61418.0	0	513.0	71427.0	120209.0	1992.0	70257.0	0	407723.0	79347.0	14511.0	235920.0	199360.0	76807.0	0	67358.0	24559.0	245468.0	210603.0	32381.0	329033.0	25769.0	0	229920.0	36889.0	287429.0	0	163868.0	0	35870.0	2040.0	397.0	435.0	2616.0	0	2431.0	11115.0	848.0	0	0	72834.0	50218.0	37683.0	0	0	0	121.0	9193.0	1510.0	0	0	25730.0	7574.0	858.0	551.0	223755.0	0	0	2622.0	81.0	10984.0	0	5388.0	8366.0	537469.0	0	418762.0	0	42650.0	59437.0	0	14707.0	26903.0	0	149606.0	0	0	35942.0	117515.0	5000.0	1127383.0	745969.0	65876.0	69993.0	565.0	0	0	0	770711.0	9736.0	1692939.0	0	0	0	341658.0	93428.0	131724.0	363556.0	0	415614.0	0	0	839.0	37789.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	4879.0	0	0	0	0	131866.0	724.0	5665.0	740692.0	100454.0	111584.0	0	286909.0	41206.0	803876.0	187326.0	0	178939.0	515730.0	0	236823.0	661990.0	126403.0	103333.0	556489.0	0	0	48312.0	86916.0	9154.0	2417.0	202961.0	155528.0	196914.0	5562.0	4392.0	58018.0	0	0	71427.0	120209.0	1992.0	70257.0	0	407723.0	79347.0	14511.0	235920.0	199360.0	76427.0	0	67358.0	17856.0	245468.0	210603.0	32381.0	329033.0	25769.0	0	229920.0	36889.0	287429.0	0	163868.0	0	35870.0	0	397.0	435.0	2616.0	0	2431.0	11115.0	848.0	0	0	72834.0	50218.0	37683.0	0	0	0	0	9193.0	0	0	0	25730.0	7574.0	0	551.0	223755.0	0	0	2389.0	81.0	10984.0	0	5388.0	8366.0	537469.0	0	418762.0	0	42650.0	59437.0	0	4306.0	26903.0	0	149606.0	0	0	35942.0	117515.0	5000.0	1127383.0	745969.0	63449.0	69152.0	565.0	0	0	0	767125.0	9736.0	1692939.0	0	0	0	341658.0	93428.0	131724.0	363556.0	0	415614.0	0	0	839.0	37789.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	4879.0	0	0	0	0	131866.0	724.0	5665.0	740692.0	100454.0	111584.0	0	286909.0	41206.0	803876.0	187326.0	0	178939.0	515730.0	0	236823.0	661990.0	126403.0	103333.0	556489.0	0	0	48312.0	86916.0	9154.0	2417.0	202961.0	155528.0	196914.0	5562.0	4392.0	58018.0	0	0	71427.0	120209.0	1992.0	70257.0	0	407723.0	79347.0	14511.0	235920.0	199360.0	76427.0	0	67358.0	17856.0	245468.0	210603.0	32381.0	329033.0	25769.0	0	229920.0	36889.0	287429.0	0	163868.0	0	35870.0	0	397.0	435.0	2616.0	0	2431.0	11115.0	848.0	0	0	72834.0	50218.0	37683.0	0	0	0	0	9193.0	0	0	0	25730.0	7574.0	0	551.0	223755.0	0	0	2389.0	81.0	10984.0	0	5388.0	8366.0	537469.0	0	418762.0	0	42650.0	59437.0	0	4306.0	26903.0	0	149606.0	0	0	35942.0	117515.0	5000.0	1127383.0	745969.0	63449.0	69152.0	565.0	0	0	0	767125.0	9736.0	1692939.0	0	0	0	341658.0	93428.0	131724.0	363556.0	0	415614.0	0	0	839.0	37789.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	4879.0	0	0	0	0	131866.0	724.0	5665.0	740692.0	100454.0	111584.0	0	286909.0	41206.0	803876.0	187326.0	0	178939.0	515730.0	0	236823.0	661990.0	126403.0	103333.0	556489.0	0	0	48312.0	86916.0	9154.0	2417.0	202961.0	155528.0	196914.0	5562.0	4392.0	58018.0	0	0	71427.0	120209.0	1992.0	70257.0	0	407723.0	79347.0	14511.0	235920.0	199360.0	76427.0	0	67358.0	17856.0	245468.0	210603.0	32381.0	329033.0	25769.0	0	229920.0	36889.0	287429.0	0	163868.0	0	35870.0	0	397.0	435.0	2616.0	0	2431.0	11115.0	848.0	0	0	72834.0	50218.0	37683.0	0	0	0	0	9193.0	0	0	0	25730.0	7574.0	0	551.0	223755.0	0	0	2389.0	81.0	10984.0	0	5388.0	8366.0	537469.0	0	418762.0	0	42650.0	59437.0	0	4306.0	26903.0	0	149606.0	0	0	35942.0	117515.0	5000.0	1127383.0	745969.0	63449.0	69152.0	565.0	0	0	0	767125.0	9736.0	1692939.0	0	0	0	341658.0	93428.0	131724.0	363556.0	0	415614.0	0	0	839.0	37789.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB519	2157|28890|183925|2158|2159|	0	0	0	0	0	0	0	0	0	0	0	0	0	4534.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB519|s__GGB519_SGB697	2157|28890|183925|2158|2159||	0	0	0	0	0	0	0	0	0	0	0	0	0	4534.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB519|s__GGB519_SGB697|t__SGB697	2157|28890|183925|2158|2159|||	0	0	0	0	0	0	0	0	0	0	0	0	0	4534.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacteriaceae_unclassified	2157|28890|183925|2158|2159|	4368.0	0	0	0	0	0	0	0	740692.0	100454.0	0	0	286909.0	0	45084.0	187326.0	0	11191.0	424385.0	0	0	55502.0	91904.0	0	556489.0	0	0	0	0	9154.0	923.0	4237.0	142347.0	174797.0	0	0	52448.0	0	0	0	0	0	0	0	407723.0	0	0	141988.0	37623.0	76427.0	0	0	17856.0	223767.0	82687.0	32381.0	0	1208.0	0	229920.0	36889.0	271650.0	0	31027.0	0	0	0	397.0	435.0	0	0	1226.0	1666.0	58.0	0	0	70012.0	0	11257.0	0	0	0	0	6721.0	0	0	0	0	0	0	0	14029.0	0	0	2138.0	0	0	0	0	2485.0	0	0	0	0	4019.0	59437.0	0	4306.0	16164.0	0	149606.0	0	0	35942.0	0	0	1127383.0	745969.0	63449.0	69152.0	565.0	0	0	0	767125.0	9736.0	1692939.0	0	0	0	242637.0	92663.0	131724.0	363556.0	0	361644.0	0	0	0	37789.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacteriaceae_unclassified|s__Methanobacteriaceae_archaeon	2157|28890|183925|2158|2159||2099680	4368.0	0	0	0	0	0	0	0	740692.0	100454.0	0	0	286909.0	0	45084.0	187326.0	0	11191.0	424385.0	0	0	55502.0	91904.0	0	556489.0	0	0	0	0	9154.0	923.0	4237.0	142347.0	174797.0	0	0	52448.0	0	0	0	0	0	0	0	407723.0	0	0	141988.0	37623.0	76427.0	0	0	17856.0	223767.0	82687.0	32381.0	0	1208.0	0	229920.0	36889.0	271650.0	0	31027.0	0	0	0	397.0	435.0	0	0	1226.0	1666.0	58.0	0	0	70012.0	0	11257.0	0	0	0	0	6721.0	0	0	0	0	0	0	0	14029.0	0	0	2138.0	0	0	0	0	2485.0	0	0	0	0	4019.0	59437.0	0	4306.0	16164.0	0	149606.0	0	0	35942.0	0	0	1127383.0	745969.0	63449.0	69152.0	565.0	0	0	0	767125.0	9736.0	1692939.0	0	0	0	242637.0	92663.0	131724.0	363556.0	0	361644.0	0	0	0	37789.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacteriaceae_unclassified|s__Methanobacteriaceae_archaeon|t__SGB21046	2157|28890|183925|2158|2159||2099680|	4368.0	0	0	0	0	0	0	0	740692.0	100454.0	0	0	286909.0	0	45084.0	187326.0	0	11191.0	424385.0	0	0	55502.0	91904.0	0	556489.0	0	0	0	0	9154.0	923.0	4237.0	142347.0	174797.0	0	0	52448.0	0	0	0	0	0	0	0	407723.0	0	0	141988.0	37623.0	76427.0	0	0	17856.0	223767.0	82687.0	32381.0	0	1208.0	0	229920.0	36889.0	271650.0	0	31027.0	0	0	0	397.0	435.0	0	0	1226.0	1666.0	58.0	0	0	70012.0	0	11257.0	0	0	0	0	6721.0	0	0	0	0	0	0	0	14029.0	0	0	2138.0	0	0	0	0	2485.0	0	0	0	0	4019.0	59437.0	0	4306.0	16164.0	0	149606.0	0	0	35942.0	0	0	1127383.0	745969.0	63449.0	69152.0	565.0	0	0	0	767125.0	9736.0	1692939.0	0	0	0	242637.0	92663.0	131724.0	363556.0	0	361644.0	0	0	0	37789.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	511.0	0	0	0	0	0	724.0	0	0	0	111584.0	0	0	36672.0	703172.0	0	0	127262.0	0	0	3197.0	564053.0	7557.0	0	0	0	0	27811.0	86916.0	0	1494.0	198724.0	0	0	5562.0	1605.0	5570.0	0	0	41477.0	104.0	0	70257.0	0	0	78261.0	14511.0	49242.0	81439.0	0	0	4096.0	0	423.0	125371.0	0	109292.0	24561.0	0	0	0	0	0	30359.0	0	8586.0	0	0	0	0	0	281.0	9449.0	0	0	0	2822.0	50218.0	1684.0	0	0	0	0	0	0	0	0	14390.0	7574.0	0	0	209726.0	0	0	251.0	81.0	10984.0	0	0	0	380195.0	0	0	0	38631.0	0	0	0	9900.0	0	0	0	0	0	117515.0	2959.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_gottschalkii	2157|28890|183925|2158|2159|2172|190974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196.0	0	0	0	0	0	0	0	0	0	0	0	0	736.0	0	0	0	0	0	104.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.0	0	0	0	0	292.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_gottschalkii|t__SGB716	2157|28890|183925|2158|2159|2172|190974|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196.0	0	0	0	0	0	0	0	0	0	0	0	0	736.0	0	0	0	0	0	104.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.0	0	0	0	0	292.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
